134,105	33,19	0,0 33,0 0,19 33,19
171,60	13,42	0,0 13,0 0,42 13,42
118,70	55,44	0,0 55,0 0,44 55,44
26,113	32,42	0,0 32,0 0,21 32,21 0,42 32,42
161,44	20,12	0,0 10,0 20,0 0,4 10,4 20,4 0,8 10,8 20,8 0,12 10,12 20,12
42,49	16,39	0,0 16,0 0,13 16,13 0,26 16,26 0,39 16,39
81,184	51,23	0,0 51,0 0,23 51,23
180,168	46,11	0,0 23,0 46,0 0,11 23,11 46,11
164,199	17,18	0,0 17,0 0,18 17,18
163,39	27,29	0,0 27,0 0,29 27,29
58,11	29,28	0,0 29,0 0,28 29,28
106,190	36,49	0,0 36,0 0,49 36,49
197,118	18,28	0,0 18,0 0,28 18,28
92,115	20,27	0,0 20,0 0,27 20,27
134,100	14,10	0,0 14,0 0,10 14,10
54,186	38,12	0,0 38,0 0,12 38,12
201,41	10,46	0,0 10,0 0,23 10,23 0,46 10,46
12,92	22,23	0,0 22,0 0,23 22,23
88,155	12,27	0,0 4,0 8,0 12,0 0,27 4,27 8,27 12,27
175,158	27,25	0,0 27,0 0,25 27,25
199,133	20,32	0,0 20,0 0,32 20,32
91,186	23,13	0,0 23,0 0,13 23,13
135,75	21,28	0,0 21,0 0,28 21,28
