75,63	52,38	0,0 13,0 26,0 39,0 52,0 0,38 13,38 26,38 39,38 52,38
123,106	52,27	0,0 52,0 0,27 52,27
192,66	42,25	0,0 42,0 0,25 42,25
46,30	47,24	0,0 47,0 0,8 47,8 0,16 47,16 0,24 47,24
96,34	14,17	0,0 14,0 0,17 14,17
15,177	30,33	0,0 15,0 30,0 0,33 15,33 30,33
61,68	56,27	0,0 56,0 0,27 56,27
115,33	50,19	0,0 50,0 0,19 50,19
62,176	37,22	0,0 37,0 0,22 37,22
103,189	33,46	0,0 33,0 0,46 33,46
31,98	25,41	0,0 25,0 0,41 25,41
179,25	17,17	0,0 17,0 0,17 17,17
167,180	27,26	0,0 27,0 0,26 27,26
130,28	35,20	0,0 35,0 0,20 35,20
104,120	47,11	0,0 47,0 0,11 47,11
188,165	10,17	0,0 10,0 0,17 10,17
27,47	15,42	0,0 15,0 0,42 15,42
186,186	27,11	0,0 9,0 18,0 27,0 0,11 9,11 18,11 27,11
53,141	12,10	0,0 12,0 0,2 12,2 0,4 12,4 0,6 12,6 0,8 12,8 0,10 12,10
126,26	15,15	0,0 15,0 0,15 15,15
