46,43	31,10	0,10 31,0
121,39	27,18	0,18 27,18
37,134	51,37	0,0 0,37
25,23	39,14	0,7 39,7
45,77	39,23	26,23 39,23
142,112	40,27	0,0 0,27
79,41	33,45	0,0 0,45
141,108	30,35	0,35 30,0
55,132	41,30	41,0 41,30
87,184	50,12	25,0 50,12
23,181	11,17	0,0 11,0
139,33	34,18	0,0 34,18
151,157	25,36	0,0 25,0
50,45	10,24	0,0 10,24
105,8	42,10	0,0 42,10
186,25	14,14	0,14 14,14
52,196	13,23	0,23 13,23
165,27	28,12	14,12 28,12
144,154	30,35	0,0 30,0
158,114	26,37	13,0 26,0
40,101	12,20	0,20 12,10
165,58	12,21	0,21 12,0
117,73	24,33	0,0 24,33
