65,144	19,46	0,0 19,0 0,46 19,46
64,104	16,14	0,0 16,0 0,14 16,14
78,8	48,29	0,0 16,0 32,0 48,0 0,29 16,29 32,29 48,29
125,167	15,10	0,0 15,0 0,10 15,10
198,27	39,15	0,0 39,0 0,5 39,5 0,10 39,10 0,15 39,15
91,136	56,32	0,0 56,0 0,16 56,16 0,32 56,32
40,72	26,26	0,0 26,0 0,26 26,26
198,75	11,34	0,0 11,0 0,34 11,34
132,193	46,10	0,0 46,0 0,10 46,10
66,187	26,30	0,0 26,0 0,30 26,30
60,122	33,10	0,0 11,0 22,0 33,0 0,10 11,10 22,10 33,10
178,92	31,28	0,0 31,0 0,28 31,28
94,171	10,17	0,0 5,0 10,0 0,17 5,17 10,17
148,145	14,39	0,0 14,0 0,39 14,39
58,59	23,22	0,0 23,0 0,22 23,22
15,29	12,38	0,0 4,0 8,0 12,0 0,38 4,38 8,38 12,38
131,26	12,31	0,0 12,0 0,31 12,31
171,184	19,18	0,0 19,0 0,9 19,9 0,18 19,18
111,57	21,11	0,0 21,0 0,11 21,11
47,10	18,19	0,0 9,0 18,0 0,19 9,19 18,19
168,61	12,21	0,0 12,0 0,21 12,21
90,106	24,20	0,0 24,0 0,20 24,20
26,127	22,44	0,0 11,0 22,0 0,44 11,44 22,44
125,59	14,19	0,0 7,0 14,0 0,19 7,19 14,19
127,98	48,17	0,0 16,0 32,0 48,0 0,17 16,17 32,17 48,17
195,155	23,28	0,0 23,0 0,28 23,28
99,91	20,26	0,0 20,0 0,26 20,26
64,202	35,11	0,0 35,0 0,11 35,11
