107,98	53,22	0,0 53,0
24,71	14,33	0,0 14,33
125,162	18,43	0,43 18,43
108,140	12,20	12,0 6,0
181,170	19,14	0,14 19,0
128,71	17,28	17,0 17,28
45,117	16,25	0,25 16,0
95,167	42,44	42,0 42,44
103,58	27,18	27,0 27,18
54,18	13,48	0,0 0,48
129,29	43,13	0,13 43,13
184,63	32,29	32,0 32,29
169,85	21,25	0,0 21,25
39,179	19,18	0,9 19,18
126,50	19,19	0,0 0,19
38,148	30,45	0,45 30,0
71,11	38,23	0,0 38,0
169,167	40,35	0,35 40,0
53,24	38,44	0,0 38,0
104,195	20,19	0,19 20,19
148,75	23,10	0,0 0,10
68,80	31,16	0,0 31,0
