33,45	38,24	19,0 38,0
148,94	55,47	0,0 55,0
198,30	50,21	0,21 50,0
75,62	54,31	0,0 0,31
41,19	11,24	0,0 11,0
71,143	29,21	29,0 29,21
149,187	54,33	0,0 54,33
78,161	44,38	22,0 44,0
56,117	30,25	0,25 30,0
188,75	35,30	35,10 35,30
11,182	10,18	0,0 10,18
198,174	17,16	0,16 17,16
53,91	22,10	0,0 22,10
167,125	34,22	17,11 34,22
174,5	41,12	41,0 41,12
185,180	15,24	0,8 15,0
127,91	26,24	0,0 26,24
11,116	12,21	0,21 4,0
26,147	13,12	0,12 13,12
90,122	15,20	0,20 15,0
55,75	15,19	0,19 15,0
94,173	15,26	15,0 15,26
167,140	16,22	0,0 16,0
94,13	14,14	0,0 14,14
