46,139	16,21	0,0 16,0 0,21 16,21
52,80	26,22	0,0 26,0 0,22 26,22
113,74	29,10	0,0 29,0 0,10 29,10
173,190	17,28	0,0 17,0 0,28 17,28
139,115	47,25	0,0 47,0 0,25 47,25
177,19	23,12	0,0 23,0 0,4 23,4 0,8 23,8 0,12 23,12
30,189	33,11	0,0 33,0 0,11 33,11
197,26	38,13	0,0 38,0 0,13 38,13
130,192	50,12	0,0 50,0 0,12 50,12
136,39	27,17	0,0 27,0 0,17 27,17
157,60	16,18	0,0 8,0 16,0 0,9 8,9 16,9 0,18 8,18 16,18
176,112	34,29	0,0 34,0 0,29 34,29
92,113	19,11	0,0 19,0 0,11 19,11
73,37	58,30	0,0 58,0 0,15 58,15 0,30 58,30
75,176	19,20	0,0 19,0 0,20 19,20
190,139	15,11	0,0 15,0 0,11 15,11
82,43	28,35	0,0 28,0 0,35 28,35
116,167	12,23	0,0 12,0 0,23 12,23
104,75	33,19	0,0 33,0 0,19 33,19
75,33	15,24	0,0 5,0 10,0 15,0 0,24 5,24 10,24 15,24
186,151	24,41	0,0 12,0 24,0 0,41 12,41 24,41
31,98	20,15	0,0 20,0 0,15 20,15
11,183	18,26	0,0 6,0 12,0 18,0 0,13 6,13 12,13 18,13 0,26 6,26 12,26 18,26
15,61	12,16	0,0 4,0 8,0 12,0 0,16 4,16 8,16 12,16
76,125	13,42	0,0 13,0 0,21 13,21 0,42 13,42
177,138	18,20	0,0 18,0 0,20 18,20
101,203	45,10	0,0 45,0 0,10 45,10
88,64	20,28	0,0 20,0 0,28 20,28
140,118	24,28	0,0 24,0 0,28 24,28
8,107	16,24	0,0 16,0 0,24 16,24
56,125	11,45	0,0 11,0 0,45 11,45
138,184	15,24	0,0 15,0 0,24 15,24
191,71	11,44	0,0 11,0 0,44 11,44
