97,148	59,25	0,0 59,0 0,25 59,25
49,75	36,46	0,0 36,0 0,46 36,46
61,15	24,20	0,0 24,0 0,10 24,10 0,20 24,20
141,166	10,31	0,0 5,0 10,0 0,31 5,31 10,31
137,34	42,42	0,0 42,0 0,21 42,21 0,42 42,42
121,92	36,21	0,0 36,0 0,21 36,21
172,117	21,19	0,0 21,0 0,19 21,19
137,122	54,30	0,0 54,0 0,15 54,15 0,30 54,30
99,161	19,22	0,0 19,0 0,22 19,22
87,20	24,25	0,0 8,0 16,0 24,0 0,25 8,25 16,25 24,25
134,161	49,18	0,0 49,0 0,18 49,18
84,187	38,13	0,0 19,0 38,0 0,13 19,13 38,13
76,141	57,18	0,0 57,0 0,18 57,18
111,15	15,45	0,0 5,0 10,0 15,0 0,45 5,45 10,45 15,45
189,162	30,19	0,0 10,0 20,0 30,0 0,19 10,19 20,19 30,19
181,6	28,26	0,0 14,0 28,0 0,26 14,26 28,26
20,147	24,17	0,0 8,0 16,0 24,0 0,17 8,17 16,17 24,17
57,53	31,15	0,0 31,0 0,15 31,15
203,138	15,20	0,0 15,0 0,20 15,20
39,179	14,25	0,0 14,0 0,25 14,25
185,65	16,42	0,0 16,0 0,42 16,42
71,97	12,47	0,0 12,0 0,47 12,47
