58,167	41,14	0,0 41,0 0,14 41,14
20,126	15,38	0,0 15,0 0,38 15,38
120,101	48,12	0,0 16,0 32,0 48,0 0,4 16,4 32,4 48,4 0,8 16,8 32,8 48,8 0,12 16,12 32,12 48,12
155,51	14,19	0,0 14,0 0,19 14,19
184,111	19,14	0,0 19,0 0,14 19,14
153,170	50,33	0,0 25,0 50,0 0,33 25,33 50,33
38,114	29,29	0,0 29,0 0,29 29,29
37,21	17,48	0,0 17,0 0,24 17,24 0,48 17,48
64,109	45,17	0,0 45,0 0,17 45,17
99,182	28,26	0,0 28,0 0,26 28,26
164,71	36,34	0,0 18,0 36,0 0,17 18,17 36,17 0,34 18,34 36,34
76,38	24,19	0,0 8,0 16,0 24,0 0,19 8,19 16,19 24,19
88,20	23,46	0,0 23,0 0,46 23,46
132,67	23,28	0,0 23,0 0,28 23,28
190,151	13,48	0,0 13,0 0,16 13,16 0,32 13,32 0,48 13,48
101,169	39,25	0,0 39,0 0,25 39,25
189,33	15,14	0,0 3,0 6,0 9,0 12,0 15,0 0,14 3,14 6,14 9,14 12,14 15,14
51,191	32,15	0,0 32,0 0,5 32,5 0,10 32,10 0,15 32,15
189,166	31,18	0,0 31,0 0,18 31,18
147,128	21,11	0,0 7,0 14,0 21,0 0,11 7,11 14,11 21,11
142,81	15,14	0,0 3,0 6,0 9,0 12,0 15,0 0,7 3,7 6,7 9,7 12,7 15,7 0,14 3,14 6,14 9,14 12,14 15,14
44,75	11,12	0,0 11,0 0,12 11,12
72,88	21,47	0,0 21,0 0,47 21,47
76,65	12,11	0,0 12,0 0,11 12,11
108,83	13,15	0,0 13,0 0,5 13,5 0,10 13,10 0,15 13,15
53,59	13,33	0,0 13,0 0,33 13,33
88,185	12,11	0,0 12,0 0,11 12,11
121,28	12,10	0,0 12,0 0,5 12,5 0,10 12,10
144,21	30,13	0,0 15,0 30,0 0,13 15,13 30,13
